n, Time(ns)
77900,22568
78000,22567
78100,22568
78200,22568
78300,22568
78400,22567
78500,22567
78600,22567
78700,22568
78800,22567
78900,25035
79000,22567
79100,22920
79200,22567
79300,22920
79400,22567
79500,22921
79600,22920
79700,22920
79800,22920
79900,23272
80000,22920
80100,22920
80200,22920
80300,23273
80400,22920
80500,23273
80600,22920
80700,23272
80800,23273
80900,23272
81000,23272
81100,23272
81200,23272
81300,23272
81400,23626
81500,23272
81600,23625
81700,23626
81800,23625
81900,23625
82000,23626
82100,23625
82200,23625
82300,23625
82400,23625
82500,23978
82600,23978
82700,23625
82800,23625
82900,23978
83000,28914
83100,24330
83200,23977
83300,23978
83400,23978
83500,23977
83600,23978
83700,23978
83800,23978
83900,24331
84000,24331
84100,24331
84200,23978
84300,24331
84400,24330
84500,24331
84600,24330
84700,24330
84800,24331
84900,24331
85000,24331
85100,24683
85200,24683
85300,24331
85400,24683
85500,24683
85600,24683
85700,24684
85800,24683
85900,24683
86000,24683
86100,24683
86200,25036
86300,24683
86400,25036
86500,25036
86600,24683
86700,25036
86800,25036
86900,25036
87000,26446
87100,25036
87200,25036
87300,25036
87400,25036
87500,25036
87600,25036
87700,25388
87800,25388
87900,25388
88000,25389
88100,25389
88200,25388
88300,25389
88400,25389
88500,25388
88600,25389
88700,25388
88800,25741
88900,25741
89000,25741
89100,25741
89200,25741
89300,25741
89400,25741
89500,25741
89600,25741
89700,25741
89800,25741
89900,25741
90000,26094
90100,25741
90200,26093
90300,26094
90400,25741
90500,26094
90600,26094
90700,41609
90800,26094
90900,26094
91000,26094
91100,26446
91200,26446
91300,26094
91400,26093
91500,26446
91600,26094
91700,26446
91800,26447
91900,26446
92000,26447
92100,26446
92200,65234
92300,27504
92400,26799
92500,26446
92600,26446
92700,26799
92800,26799
92900,26799
93000,26799
93100,26799
93200,26799
93300,26799
93400,26799
93500,26799
93600,27152
93700,26799
93800,27151
93900,27152
94000,27151
94100,27151
94200,28914
94300,27152
94400,27152
94500,27151
94600,27151
94700,27504
94800,27505
94900,27151
95000,27504
95100,27151
95200,27504
