n, Time(ns)
61900,35343484
62000,35514151
62100,35571627
62200,44750947
62300,35930943
62400,37465885
62500,36104783
62600,36248299
62700,36330811
62800,36371362
62900,36792034
63000,36598095
63100,36705290
63200,36871020
63300,36941896
63400,37082237
63500,37584364
63600,37293807
63700,37553686
63800,37874920
63900,37629498
64000,37847063
64100,38584385
64200,38130919
64300,38249751
64400,38308286
64500,38575570
64600,38914082
64700,38561112
64800,41624999
64900,39041376
65000,38942643
65100,39581937
65200,39280803
65300,39299844
65400,39473685
65500,41432470
65600,39961001
65700,39900351
65800,39994852
65900,40089353
66000,40225110
66100,40445496
66200,40432096
66300,40653540
66400,40703612
66500,40913771
66600,41621473
66700,41165893
66800,42250541
66900,41219137
67000,41327038
67100,41537550
67200,41568933
67300,43623983
67400,41878883
67500,43479764
67600,42238552
67700,42444833
67800,42449064
67900,42983279
68000,42676150
68100,42798860
68200,42921923
68300,43110574
68400,43248446
68500,45954781
68600,43566507
68700,43530540
68800,43660656
68900,44079917
69000,43954033
69100,44230837
69200,44387047
69300,44372589
69400,44382814
69500,44567586
69600,47113479
69700,44903983
69800,46384267
69900,45375783
70000,45260126
70100,45838064
70200,45477338
70300,45930802
70400,45704422
70500,47310944
70600,45912819
70700,46007673
70800,46169171
70900,46260146
71000,46406835
71100,46907551
71200,46629689
71300,46886394
71400,46957975
71500,47209038
71600,47245711
71700,47936134
71800,48859990
71900,47713633
72000,47751715
72100,47818713
72200,47985501
72300,48071186
72400,48261246
72500,48364916
72600,48593059
72700,48687561
72800,49031715
72900,48966480
73000,49091659
73100,49253157
73200,50216154
73300,50154094
73400,49746822
73500,49750700
73600,49752110
73700,50134700
73800,51934455
73900,50428077
74000,50855448
74100,50748958
74200,50783867
74300,51246853
74400,51064550
74500,51137894
74600,51246500
74700,51381905
74800,51576197
74900,51680219
75000,51945740
75100,52082907
75200,52337849
75300,52212671
75400,52278962
75500,52415425
75600,52524736
75700,53873142
75800,53047314
75900,54225759
76000,53400284
76100,53319181
76200,53971170
76300,53672151
76400,53788162
76500,53767710
76600,54072724
76700,54219413
76800,54219412
76900,54319555
77000,54934519
77100,54639027
77200,54799819
77300,54939103
77400,54979301
77500,55268447
77600,57113691
77700,56679267
77800,55657031
77900,55715565
78000,55886937
78100,55992722
78200,56185251
78300,56256832
78400,56545625
78500,56732864
78600,56999443
78700,56987101
78800,57658836
78900,57199730
79000,57681051
79100,57439156
79200,63681883
79300,68273306
79400,58378880
79500,58680014
79600,58158494
79700,58327045
79800,58389811
79900,58633822
80000,58701876
80100,59044268
80200,59176499
80300,59309435
80400,59464234
80500,59957898
80600,59879265
80700,60819340
80800,60534073
80900,60020663
81000,62098987
81100,60510801
81200,60647968
81300,60683582
81400,61468860
81500,61112718
81600,61210392
81700,61358844
81800,61501654
81900,61680078
82000,61804199
82100,61959351
82200,62678336
82300,62584892
82400,62409642
82500,62508375
82600,71272311
82700,62919173
82800,63024606
82900,63047879
83000,63130038
83100,63346897
83200,63458677
83300,63626875
83400,63852197
83500,63970324
83600,64053541
83700,64211161
83800,64443183
83900,64530632
84000,64645938
84100,64957651
84200,71935231
84300,67022575
84400,65646664
84500,66056757
